0,0,0.000085
0,1,0.000661
0,2,0.002758
0,3,0.008327
0,4,0.019652
0,5,0.038932
0,6,0.068026
0,7,0.106227
0,8,0.153252
0,9,0.206797
0,10,0.263231
0,11,0.321859
0,12,0.379300
0,13,0.431860
0,14,0.482353
0,15,0.525848
0,16,0.563920
0,17,0.594239
0,18,0.549803
0,19,0.523277
1,0,0.000000
1,1,0.001793
1,2,0.008409
1,3,0.023250
1,4,0.047882
1,5,0.084037
1,6,0.130878
1,7,0.185377
1,8,0.243370
1,9,0.304824
1,10,0.361232
1,11,0.411964
1,12,0.458546
1,13,0.498407
1,14,0.530580
1,15,0.558315
1,16,0.581406
1,17,0.598062
1,18,0.602302
1,19,0.608830
2,2,0.059292
2,3,0.101220
2,4,0.164355
2,5,0.239891
2,6,0.315606
2,7,0.388242
2,8,0.459081
2,9,0.519118
2,10,0.573635
2,11,0.618598
2,12,0.652719
2,13,0.681361
2,14,0.702621
2,15,0.719084
2,16,0.731066
2,17,0.738253
2,18,0.735540
2,19,0.740907
2,20,0.676471
3,3,0.441489
3,4,0.534707
3,5,0.614200
3,6,0.698105
3,7,0.755251
3,8,0.800825
3,9,0.830618
3,10,0.849811
3,11,0.868408
3,12,0.883216
3,13,0.892738
3,14,0.901017
3,15,0.900084
3,16,0.898050
3,17,0.895168
3,18,0.902549
3,19,0.895600
3,20,0.905983
4,8,1.000000
4,9,1.000000
4,10,1.000000
4,11,1.000000
4,12,1.000000
4,13,1.000000
4,14,1.000000
4,15,1.000000
4,16,1.000000
4,17,1.000000
4,18,1.000000
